"TaxaID"	"Prevalence"	"TotalCounts"	"Percentage"
"502"	"denovo92540"	4	4	0.00250317590442874
"503"	"denovo111104"	2	3	0.00187738192832156
"504"	"denovo144949"	1	3	0.00187738192832156
"505"	"denovo163012"	1	3	0.00187738192832156
"506"	"denovo180817"	1	3	0.00187738192832156
"507"	"denovo188508"	2	3	0.00187738192832156
"508"	"denovo189251"	1	3	0.00187738192832156
"509"	"denovo195827"	1	3	0.00187738192832156
"510"	"denovo20010"	1	3	0.00187738192832156
"511"	"denovo200346"	1	3	0.00187738192832156
"512"	"denovo204039"	1	3	0.00187738192832156
"513"	"denovo214493"	2	3	0.00187738192832156
"514"	"denovo216943"	2	3	0.00187738192832156
"515"	"denovo221524"	2	3	0.00187738192832156
"516"	"denovo230783"	1	3	0.00187738192832156
"517"	"denovo240515"	1	3	0.00187738192832156
"518"	"denovo247236"	1	3	0.00187738192832156
"519"	"denovo26379"	1	3	0.00187738192832156
"520"	"denovo267138"	1	3	0.00187738192832156
"521"	"denovo268137"	1	3	0.00187738192832156
"522"	"denovo291024"	2	3	0.00187738192832156
"523"	"denovo297517"	1	3	0.00187738192832156
"524"	"denovo297939"	2	3	0.00187738192832156
"525"	"denovo301242"	1	3	0.00187738192832156
"526"	"denovo307466"	2	3	0.00187738192832156
"527"	"denovo3112"	2	3	0.00187738192832156
"528"	"denovo312336"	1	3	0.00187738192832156
"529"	"denovo318507"	1	3	0.00187738192832156
"530"	"denovo329808"	1	3	0.00187738192832156
"531"	"denovo331150"	2	3	0.00187738192832156
"532"	"denovo340585"	2	3	0.00187738192832156
"533"	"denovo352672"	2	3	0.00187738192832156
"534"	"denovo360161"	1	3	0.00187738192832156
"535"	"denovo37344"	1	3	0.00187738192832156
"536"	"denovo373634"	1	3	0.00187738192832156
"537"	"denovo377667"	1	3	0.00187738192832156
"538"	"denovo385244"	1	3	0.00187738192832156
"539"	"denovo388666"	1	3	0.00187738192832156
"540"	"denovo39063"	1	3	0.00187738192832156
"541"	"denovo395004"	1	3	0.00187738192832156
"542"	"denovo397156"	1	3	0.00187738192832156
"543"	"denovo402523"	1	3	0.00187738192832156
"544"	"denovo406600"	2	3	0.00187738192832156
"545"	"denovo408580"	1	3	0.00187738192832156
"546"	"denovo417423"	1	3	0.00187738192832156
"547"	"denovo422580"	1	3	0.00187738192832156
"548"	"denovo452717"	1	3	0.00187738192832156
"549"	"denovo469065"	1	3	0.00187738192832156
"550"	"denovo47438"	1	3	0.00187738192832156
"551"	"denovo475103"	2	3	0.00187738192832156
"552"	"denovo484449"	1	3	0.00187738192832156
"553"	"denovo487520"	2	3	0.00187738192832156
"554"	"denovo501597"	1	3	0.00187738192832156
"555"	"denovo514346"	1	3	0.00187738192832156
